Time: 0.000201 seg, Number of threads: 1, Limit: 100
Time: 0.000326 seg, Number of threads: 1, Limit: 100
Time: 0.000383 seg, Number of threads: 1, Limit: 100
Time: 0.00026 seg, Number of threads: 1, Limit: 100
Time: 0.000251 seg, Number of threads: 1, Limit: 100
Time: 0.000321 seg, Number of threads: 1, Limit: 100
Time: 0.000234 seg, Number of threads: 1, Limit: 100
Time: 0.000311 seg, Number of threads: 1, Limit: 100
Time: 0.000237 seg, Number of threads: 1, Limit: 100
Time: 0.000248 seg, Number of threads: 1, Limit: 100
Time: 0.00102 seg, Number of threads: 2, Limit: 100
Time: 0.00038 seg, Number of threads: 2, Limit: 100
Time: 0.001218 seg, Number of threads: 2, Limit: 100
Time: 0.000377 seg, Number of threads: 2, Limit: 100
Time: 0.000328 seg, Number of threads: 2, Limit: 100
Time: 0.000328 seg, Number of threads: 2, Limit: 100
Time: 0.000359 seg, Number of threads: 2, Limit: 100
Time: 0.000345 seg, Number of threads: 2, Limit: 100
Time: 0.000558 seg, Number of threads: 2, Limit: 100
Time: 0.000366 seg, Number of threads: 2, Limit: 100
Time: 0.001771 seg, Number of threads: 4, Limit: 100
Time: 0.000834 seg, Number of threads: 4, Limit: 100
Time: 0.001227 seg, Number of threads: 4, Limit: 100
Time: 0.000893 seg, Number of threads: 4, Limit: 100
Time: 0.000496 seg, Number of threads: 4, Limit: 100
Time: 0.000617 seg, Number of threads: 4, Limit: 100
Time: 0.000479 seg, Number of threads: 4, Limit: 100
Time: 0.000531 seg, Number of threads: 4, Limit: 100
Time: 0.001321 seg, Number of threads: 4, Limit: 100
Time: 0.00051 seg, Number of threads: 4, Limit: 100
Time: 0.001257 seg, Number of threads: 8, Limit: 100
Time: 0.001166 seg, Number of threads: 8, Limit: 100
Time: 0.000911 seg, Number of threads: 8, Limit: 100
Time: 0.000711 seg, Number of threads: 8, Limit: 100
Time: 0.000732 seg, Number of threads: 8, Limit: 100
Time: 0.000795 seg, Number of threads: 8, Limit: 100
Time: 0.000709 seg, Number of threads: 8, Limit: 100
Time: 0.000793 seg, Number of threads: 8, Limit: 100
Time: 0.001222 seg, Number of threads: 8, Limit: 100
Time: 0.0007 seg, Number of threads: 8, Limit: 100
Time: 0.000304 seg, Number of threads: 1, Limit: 1000
Time: 0.000307 seg, Number of threads: 1, Limit: 1000
Time: 0.000299 seg, Number of threads: 1, Limit: 1000
Time: 0.000243 seg, Number of threads: 1, Limit: 1000
Time: 0.000277 seg, Number of threads: 1, Limit: 1000
Time: 0.000278 seg, Number of threads: 1, Limit: 1000
Time: 0.000338 seg, Number of threads: 1, Limit: 1000
Time: 0.000284 seg, Number of threads: 1, Limit: 1000
Time: 0.0003 seg, Number of threads: 1, Limit: 1000
Time: 0.000303 seg, Number of threads: 1, Limit: 1000
Time: 0.000465 seg, Number of threads: 2, Limit: 1000
Time: 0.000492 seg, Number of threads: 2, Limit: 1000
Time: 0.000455 seg, Number of threads: 2, Limit: 1000
Time: 0.000453 seg, Number of threads: 2, Limit: 1000
Time: 0.001076 seg, Number of threads: 2, Limit: 1000
Time: 0.000631 seg, Number of threads: 2, Limit: 1000
Time: 0.000515 seg, Number of threads: 2, Limit: 1000
Time: 0.000449 seg, Number of threads: 2, Limit: 1000
Time: 0.000393 seg, Number of threads: 2, Limit: 1000
Time: 0.000546 seg, Number of threads: 2, Limit: 1000
Time: 0.001263 seg, Number of threads: 4, Limit: 1000
Time: 0.000624 seg, Number of threads: 4, Limit: 1000
Time: 0.00172 seg, Number of threads: 4, Limit: 1000
Time: 0.00101 seg, Number of threads: 4, Limit: 1000
Time: 0.001364 seg, Number of threads: 4, Limit: 1000
Time: 0.000705 seg, Number of threads: 4, Limit: 1000
Time: 0.001794 seg, Number of threads: 4, Limit: 1000
Time: 0.000773 seg, Number of threads: 4, Limit: 1000
Time: 0.001251 seg, Number of threads: 4, Limit: 1000
Time: 0.000938 seg, Number of threads: 4, Limit: 1000
Time: 0.002124 seg, Number of threads: 8, Limit: 1000
Time: 0.002604 seg, Number of threads: 8, Limit: 1000
Time: 0.000824 seg, Number of threads: 8, Limit: 1000
Time: 0.002391 seg, Number of threads: 8, Limit: 1000
Time: 0.001414 seg, Number of threads: 8, Limit: 1000
Time: 0.00163 seg, Number of threads: 8, Limit: 1000
Time: 0.002281 seg, Number of threads: 8, Limit: 1000
Time: 0.001727 seg, Number of threads: 8, Limit: 1000
Time: 0.002043 seg, Number of threads: 8, Limit: 1000
Time: 0.001693 seg, Number of threads: 8, Limit: 1000
Time: 0.001256 seg, Number of threads: 1, Limit: 10000
Time: 0.001178 seg, Number of threads: 1, Limit: 10000
Time: 0.00136 seg, Number of threads: 1, Limit: 10000
Time: 0.001224 seg, Number of threads: 1, Limit: 10000
Time: 0.001169 seg, Number of threads: 1, Limit: 10000
Time: 0.001135 seg, Number of threads: 1, Limit: 10000
Time: 0.001149 seg, Number of threads: 1, Limit: 10000
Time: 0.001221 seg, Number of threads: 1, Limit: 10000
Time: 0.001093 seg, Number of threads: 1, Limit: 10000
Time: 0.001237 seg, Number of threads: 1, Limit: 10000
Time: 0.00273 seg, Number of threads: 2, Limit: 10000
Time: 0.001694 seg, Number of threads: 2, Limit: 10000
Time: 0.001724 seg, Number of threads: 2, Limit: 10000
Time: 0.001504 seg, Number of threads: 2, Limit: 10000
Time: 0.001483 seg, Number of threads: 2, Limit: 10000
Time: 0.001567 seg, Number of threads: 2, Limit: 10000
Time: 0.001539 seg, Number of threads: 2, Limit: 10000
Time: 0.002087 seg, Number of threads: 2, Limit: 10000
Time: 0.001381 seg, Number of threads: 2, Limit: 10000
Time: 0.001655 seg, Number of threads: 2, Limit: 10000
Time: 0.002508 seg, Number of threads: 4, Limit: 10000
