Time: 957 ms, Number of threads: 1, Limit: 10000
Time: 916 ms, Number of threads: 1, Limit: 10000
Time: 870 ms, Number of threads: 1, Limit: 10000
Time: 909 ms, Number of threads: 1, Limit: 10000
Time: 1309 ms, Number of threads: 1, Limit: 10000
Time: 895 ms, Number of threads: 1, Limit: 10000
Time: 879 ms, Number of threads: 1, Limit: 10000
Time: 953 ms, Number of threads: 1, Limit: 10000
Time: 908 ms, Number of threads: 1, Limit: 10000
Time: 911 ms, Number of threads: 1, Limit: 10000
Time: 912 ms, Number of threads: 2, Limit: 10000
Time: 891 ms, Number of threads: 2, Limit: 10000
Time: 906 ms, Number of threads: 2, Limit: 10000
Time: 904 ms, Number of threads: 2, Limit: 10000
Time: 949 ms, Number of threads: 2, Limit: 10000
Time: 915 ms, Number of threads: 2, Limit: 10000
Time: 878 ms, Number of threads: 2, Limit: 10000
Time: 1039 ms, Number of threads: 2, Limit: 10000
Time: 888 ms, Number of threads: 2, Limit: 10000
Time: 960 ms, Number of threads: 2, Limit: 10000
Time: 99 ms, Number of threads: 4, Limit: 1000
Time: 98 ms, Number of threads: 4, Limit: 1000
Time: 100 ms, Number of threads: 4, Limit: 1000
Time: 198 ms, Number of threads: 4, Limit: 1000
Time: 103 ms, Number of threads: 4, Limit: 1000
Time: 99 ms, Number of threads: 4, Limit: 1000
Time: 103 ms, Number of threads: 4, Limit: 1000
Time: 101 ms, Number of threads: 4, Limit: 1000
Time: 101 ms, Number of threads: 4, Limit: 1000
Time: 103 ms, Number of threads: 4, Limit: 1000
Time: 897 ms, Number of threads: 8, Limit: 10000
Time: 883 ms, Number of threads: 8, Limit: 10000
Time: 962 ms, Number of threads: 8, Limit: 10000
Time: 958 ms, Number of threads: 8, Limit: 10000
Time: 1062 ms, Number of threads: 8, Limit: 10000
Time: 893 ms, Number of threads: 8, Limit: 10000
Time: 958 ms, Number of threads: 8, Limit: 10000
Time: 960 ms, Number of threads: 8, Limit: 10000
Time: 869 ms, Number of threads: 8, Limit: 10000
Time: 897 ms, Number of threads: 8, Limit: 10000
